subj_idx,ns,block_id,stim_id,rt,resp,corr_resp,acc,feedback,FBProb,stim_ctr,delay,early_late,pcor
268,4,0,3,0.5157176,1,1,1,2,0.8,9.0,1,1,8
268,4,0,0,0.6011236,0,0,1,2,0.2,10.0,6,1,9
268,4,0,1,0.5239747,2,2,1,1,0.8,10.0,5,1,8
268,4,0,2,0.6080519,0,0,1,2,0.5,10.0,5,1,9
268,4,0,3,0.5460379,1,1,1,2,0.8,10.0,4,1,9
268,3,1,0,0.7247332,0,2,0,0,0.8,1.0,0,0,0
268,3,1,0,0.5616994,1,2,0,0,0.8,2.0,0,0,0
268,3,1,1,1.1093558,2,2,1,1,0.5,1.0,0,0,0
268,3,1,2,0.6268756,1,0,0,0,0.2,1.0,0,0,0
268,3,1,1,0.8683657,2,2,1,2,0.5,2.0,2,-1,1
268,3,1,0,0.3642015,2,2,1,2,0.8,3.0,0,0,0
268,3,1,1,0.9517764,2,2,1,2,0.5,3.0,2,-1,2
268,3,1,2,0.4282261,0,0,1,1,0.2,2.0,0,0,0
268,3,1,1,0.8052072,2,2,1,2,0.5,4.0,2,0,3
268,3,1,2,0.7989138,0,0,1,1,0.2,3.0,2,-1,1
268,3,1,0,0.809955,2,2,1,1,0.8,4.0,5,-1,1
268,3,1,2,0.7391095,0,0,1,1,0.2,4.0,2,-1,2
268,3,1,1,0.3677335,2,2,1,1,0.5,5.0,4,0,4
268,3,1,1,0.4748182,0,2,0,0,0.5,6.0,1,0,5
268,3,1,0,0.8182987,2,2,1,2,0.8,5.0,4,-1,2
268,3,1,0,0.9713289,2,2,1,1,0.8,6.0,1,0,3
268,3,1,2,0.414597,0,0,1,2,0.2,5.0,5,0,3
268,3,1,2,0.3595271,0,0,1,1,0.2,6.0,1,0,4
268,3,1,1,0.4031791,2,2,1,1,0.5,7.0,6,0,5
268,3,1,0,0.4450832,2,2,1,2,0.8,7.0,4,0,4
268,3,1,0,0.6297163,2,2,1,2,0.8,8.0,1,0,5
268,3,1,1,0.5826676,2,2,1,1,0.5,8.0,3,0,6
268,3,1,2,0.473745,0,0,1,1,0.2,7.0,5,0,5
268,3,1,0,0.5608573,2,2,1,2,0.8,9.0,3,1,6
268,3,1,1,0.4831358,2,2,1,2,0.5,9.0,3,1,7
268,3,1,2,1.2748324,0,0,1,2,0.2,8.0,3,0,6
268,3,1,2,0.4338355,0,0,1,1,0.2,9.0,1,1,7
268,3,1,1,0.4908579,2,2,1,2,0.5,10.0,3,1,8
268,3,1,2,0.7373516,0,0,1,1,0.2,10.0,2,1,8
268,3,1,0,0.4936814,2,2,1,2,0.8,10.0,6,1,7
268,5,2,0,0.6187697,0,2,0,0,0.5,1.0,0,0,0
268,5,2,1,0.6523256,2,2,1,2,0.8,1.0,0,0,0
268,5,2,2,0.6367053,1,1,1,2,0.2,1.0,0,0,0
268,5,2,1,0.829268,2,2,1,2,0.8,2.0,2,-1,1
268,5,2,0,1.4462957,1,2,0,0,0.5,2.0,0,0,0
268,5,2,3,0.9189704,2,0,0,0,0.8,1.0,0,0,0
268,5,2,2,0.92486,1,1,1,1,0.2,2.0,4,-1,1
268,5,2,3,1.057817,0,0,1,1,0.8,2.0,0,0,0
268,5,2,4,0.9457915,1,1,1,1,0.2,1.0,0,0,0
268,5,2,2,0.9662855,1,1,1,1,0.2,3.0,3,-1,2
268,5,2,4,1.8024704,1,1,1,2,0.2,2.0,2,-1,1
268,5,2,0,1.1647114,0,2,0,0,0.5,3.0,0,0,0
268,5,2,1,0.8565754,2,2,1,2,0.8,3.0,9,-1,2
268,5,2,2,0.8962711,1,1,1,1,0.2,4.0,4,0,3
268,5,2,3,0.7434133,0,0,1,2,0.8,3.0,7,-1,1
268,5,2,2,0.579449,1,1,1,2,0.2,5.0,2,0,4
268,5,2,3,0.8379649,0,0,1,2,0.8,4.0,2,-1,2
268,5,2,0,0.6232257,2,2,1,1,0.5,4.0,0,0,0
268,5,2,1,1.0235886,2,2,1,2,0.8,4.0,6,0,3
268,5,2,4,0.6727654,1,1,1,1,0.2,3.0,9,-1,2
268,5,2,0,0.7037575,2,2,1,1,0.5,5.0,3,-1,1
268,5,2,2,0.6537375,1,1,1,1,0.2,6.0,6,0,5
268,5,2,1,0.5413804,2,2,1,2,0.8,5.0,4,0,4
268,5,2,4,0.6426724,1,1,1,1,0.2,4.0,4,0,3
268,5,2,2,0.5941728,1,1,1,1,0.2,7.0,3,0,6
268,5,2,3,0.660539,0,0,1,2,0.8,5.0,9,0,3
268,5,2,1,0.6923084,2,2,1,2,0.8,6.0,4,0,5
268,5,2,3,0.6106743,0,0,1,2,0.8,6.0,2,0,4
268,5,2,0,0.6910545,2,2,1,2,0.5,6.0,8,-1,2
268,5,2,0,0.5293822,2,2,1,1,0.5,7.0,1,0,3
268,5,2,4,0.7105156,1,1,1,1,0.2,5.0,7,0,4
